type,href,name,last_name,number,date_of_birth,place_of_birth/country,place_of_birth/city,age,height,citizenship,position,image_url,current_club/href,national_team,foot,current_market_value_start,current_market_value_end,code
player,/kenji-van-boto/profil/spieler/229012,Kenji-Van,Boto,#24,"Mar 7, 1996",Réunion,Saint-Denis  ,27,"1,83 m",Madagascar,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/229012-1599422542.jpg?lm=1,/pau-fc/startseite/verein/,Madagascar,left,500,k,kenji-van-boto
player,/gideon-mensah/profil/spieler/397171,Gideon,Mensah,#14,"Jul 18, 1998",Ghana,Accra  ,25,"1,78 m",Ghana,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/397171-1565700436.jpg?lm=1,/aj-auxerre/startseite/verein/,Ghana,left,2.50,m,gideon-mensah
player,/lamine-buhanga/profil/spieler/696630,Lamine,Buhanga,,"Oct 3, 2001",,,22,"1,88 m",France,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/696630-1656332656.png?lm=1,/bourges-foot-18/startseite/verein/,,right,100,k,lamine-buhanga
player,/denys-bain/profil/spieler/184575,Denys,Bain,,"Jul 2, 1993",France,Paris  ,30,"1,81 m",France,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/184575-1617876869.jpg?lm=1,/without-club/startseite/verein/,,both,400,k,denys-bain
player,/alexandre-coeff/profil/spieler/89450,Alexandre,Coeff,#92,"Feb 20, 1992",France,Brest  ,31,"1,85 m",France,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/89450-1635852172.jpg?lm=1,/sm-caen/startseite/verein/,,right,500,k,alexandre-coeff
player,/julian-jeanvier/profil/spieler/134277,Julian,Jeanvier,#92,"Mar 31, 1992",France,Clichy  ,31,"1,83 m",Guinea,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/134277-1696332237.png?lm=1,/kayserispor/startseite/verein/,Guinea,right,700,k,julian-jeanvier
player,/theo-pellenard/profil/spieler/238716,Théo,Pellenard,#5,"Mar 4, 1994",France,Lille  ,29,"1,82 m",France,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/238716-1498491424.jpg?lm=1,/aj-auxerre/startseite/verein/,,left,1.00,m,theo-pellenard
player,/jubal/profil/spieler/149928,,Jubal,#4,"Aug 29, 1993",Brazil,Inhumas  ,30,"1,90 m",Brazil,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/149928-1478101058.jpg?lm=1,/aj-auxerre/startseite/verein/,,right,2.00,m,jubal
player,/isaak-toure/profil/spieler/708678,Isaak,Touré,#95,"Mar 28, 2003",France,Gonesse  ,20,"2,06 m",France,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/708678-1645641626.jpg?lm=1,/fc-lorient/startseite/verein/,France U21,left,8.00,m,isaak-toure
player,/vincenzo-cozzella/profil/spieler/563140,Vincenzo,Cozzella,,"Dec 21, 2001",Italy,Bitonto  ,21,"1,90 m",Italy,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/563140-1641257469.jpg?lm=1,/without-club/startseite/verein/,,,100,k,vincenzo-cozzella
player,/theo-de-percin/profil/spieler/695422,Théo,De Percin,#40,"Feb 2, 2001",France,Tarbes  ,22,"1,85 m",Martinique,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/695422-1672329898.jpg?lm=1,/aj-auxerre/startseite/verein/,,right,150,k,theo-de-percin
player,/donovan-leon/profil/spieler/170911,Donovan,Léon,#16,"Nov 3, 1992",French Guiana,Cayenne  ,31,"1,87 m",French Guiana,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/170911-1593969267.jpg?lm=1,/aj-auxerre/startseite/verein/,French Guiana,right,500,k,donovan-leon
player,/benoit-costil/profil/spieler/22628,Benoît,Costil,#56,"Jul 3, 1987",France,Caen  ,36,"1,88 m",France,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/22628-1676903501.jpg?lm=1,/us-salernitana-1919/startseite/verein/,,right,1.00,m,benoit-costil
player,/jim-allevinah/profil/spieler/646733,Jim,Allevinah,#11,"Feb 27, 1995",France,Agen  ,28,"1,72 m",Gabon,midfield - Right Midfield,https://img.a.transfermarkt.technology/portrait/header/646733-1679510299.jpg?lm=1,/clermont-foot-63/startseite/verein/,Gabon,right,2.00,m,jim-allevinah
player,/yanis-massolin/profil/spieler/915849,Yanis,Massolin,#55,"Sep 20, 2002",France,Moulins  ,21,"1,97 m",France,midfield - Central Midfield,https://img.a.transfermarkt.technology/portrait/header/915849-1679511222.jpg?lm=1,/royal-francs-borains/startseite/verein/,,left,250,k,yanis-massolin
player,/stan-berkani/profil/spieler/1051756,Stan,Berkani,,"Aug 13, 2003",France,Vichy  ,20,"1,78 m",Algeria,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/1051756-1679523507.jpg?lm=1,/clermont-foot-63-b/startseite/verein/,Algeria U20,right,50,k,stan-berkani
player,/brandon-baiye/profil/spieler/358025,Brandon,Baiye,#6,"Dec 27, 2000",Cameroon,Mamfe  ,22,"1,77 m",Belgium,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/358025-1634219835.jpg?lm=1,/kas-eupen/startseite/verein/,,right,800,k,brandon-baiye
player,/johan-gastien/profil/spieler/72121,Johan,Gastien,#25,"Jan 25, 1988",France,Niort  ,35,"1,79 m",France,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/72121-1679521469.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,700,k,johan-gastien
player,/maxime-gonalons/profil/spieler/60542,Maxime,Gonalons,#12,"Mar 10, 1989",France,Vénissieux  ,34,"1,87 m",France,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/60542-1679521484.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,900,k,maxime-gonalons
player,/yohann-magnin/profil/spieler/594997,Yohann,Magnin,#7,"Jun 21, 1997",France,Clermont-Ferrand  ,26,"1,83 m",France,midfield - Defensive Midfield,https://img.a.transfermarkt.technology/portrait/header/594997-1679521496.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,2.50,m,yohann-magnin
player,/oliver-kamdem/profil/spieler/969154,Oliver,Kamdem,#71,"Oct 15, 2002",France,Marseille  ,21,,France,Defender - Right-Back,https://img.a.transfermarkt.technology/portrait/header/969154-1698697787.png?lm=1,/lokomotiv-plovdiv/startseite/verein/,,right,100,k,oliver-kamdem
player,/mehdi-zeffane/profil/spieler/118303,Mehdi,Zeffane,#2,"May 19, 1992",France,Sainte-Foy-lès-Lyon  ,31,"1,76 m",Algeria,Defender - Right-Back,https://img.a.transfermarkt.technology/portrait/header/118303-1679508172.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,600,k,mehdi-zeffane
player,/cheick-oumar-konate/profil/spieler/1108145,Cheick Oumar,Konaté,#15,"Apr 2, 2004",Mali,Bamako  ,19,"1,73 m",Mali,Defender - Right-Back,https://img.a.transfermarkt.technology/portrait/header/1108145-1679506578.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,1.20,m,cheick-oumar-konate
player,/baila-diallo/profil/spieler/857482,Baïla,Diallo,#11,"Jun 24, 2001",France,Toulouse  ,22,"1,76 m",Senegal,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/857482-1679508207.jpg?lm=1,/sc-austria-lustenau/startseite/verein/,Senegal U23,left,200,k,baila-diallo
player,/arial-mendy/profil/spieler/422715,Arial,Mendy,#77,"Nov 7, 1994",Senegal,Ziguinchor  ,29,"1,80 m",Senegal,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/422715-1572452971.jpg?lm=1,/grenoble-foot-38/startseite/verein/,,left,600,k,arial-mendy
player,/neto-borges/profil/spieler/557939,Neto,Borges,#3,"Sep 13, 1996",Brazil,Saubara  ,27,"1,85 m",Brazil,Defender - Left-Back,https://img.a.transfermarkt.technology/portrait/header/557939-1679508190.jpg?lm=1,/clermont-foot-63/startseite/verein/,,left,4.00,m,neto-borges
player,/souleymane-cisse/profil/spieler/806501,Souleymane,Cissé,#13,"Aug 8, 2002",,,21,"1,92 m",France,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/806501-1679507343.jpg?lm=1,/dijon-fco/startseite/verein/,,right,100,k,souleymane-cisse
player,/jean-claude-billong/profil/spieler/391192,Jean-Claude,Billong,#5,"Dec 28, 1993",France,Mantes-la-Jolie  ,29,"1,92 m",Cameroon,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/391192-1684491513.png?lm=1,/muangthong-united/startseite/verein/,,right,250,k,jean-claude-billong
player,/florent-ogier/profil/spieler/91473,Florent,Ogier,#21,"Mar 21, 1989",France,Lyon  ,34,"1,83 m",France,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/91473-1679507633.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,450,k,florent-ogier
player,/maximiliano-caufriez/profil/spieler/369267,Maximiliano,Caufriez,#5,"Feb 16, 1997",Belgium,Saint-Ghislain  ,26,"1,89 m",Belgium,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/369267-1679507795.jpg?lm=1,/clermont-foot-63/startseite/verein/,,right,3.00,m,maximiliano-caufriez
player,/mateusz-wieteska/profil/spieler/208172,Mateusz,Wieteska,#23,"Feb 11, 1997",Poland,Warszawa  ,26,"1,87 m",Poland,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/208172-1668091600.jpg?lm=1,/cagliari-calcio/startseite/verein/,Poland,right,4.00,m,mateusz-wieteska
player,/alidu-seidu/profil/spieler/798404,Alidu,Seidu,#36,"Jun 4, 2000",Cote d'Ivoire,Abidjan   ,23,"1,73 m",Ghana,Defender - Centre-Back,https://img.a.transfermarkt.technology/portrait/header/798404-1679507806.jpg?lm=1,/clermont-foot-63/startseite/verein/,Ghana,right,7.00,m,alidu-seidu
player,/lucas-margueron/profil/spieler/618463,Lucas,Margueron,#16,"Feb 12, 2001",France,Décines  ,22,"1,94 m",France,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/618463-1679507178.jpg?lm=1,/rfc-seraing/startseite/verein/,,right,150,k,lucas-margueron
player,/ouparine-djoco/profil/spieler/594993,Ouparine,Djoco,#40,"Apr 22, 1998",France,Juvisy-sur-Orge  ,25,"1,89 m",Guinea-Bissau,Goalkeeper,https://img.a.transfermarkt.technology/portrait/header/594993-1679507213.jpg?lm=1,/royal-francs-borains/startseite/verein/,Guinea-Bissau,left,500,k,ouparine-djoco
player,/mamadu-silla/profil/spieler/1063540,Mamadu,Silla,,"Nov 30, 2006",,,16,,Portugal,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,/ac-ajaccio-b/startseite/verein/,,right,,,mamadu-silla
player,/ben-hamed-toure/profil/spieler/989824,Ben Hamed,Touré,#11,"Aug 21, 2003",Cote d'Ivoire,Lopou  ,20,"1,85 m",Cote d'Ivoire,Attack - Centre-Forward,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,/ac-ajaccio/startseite/verein/,,,100,k,ben-hamed-toure
